TIME;AREA_T1_A1;CELLS_T1_A1;AREA_T1_A2;CELLS_T1_A2;AREA_T1_A3;CELLS_T1_A3
0;6.804197263;40.76249996;10.2421948;140.7501342;8.666791652;84.79659857
10;6.056223788;28.66782484;11.88716214;221.368608;9.315524651;105.544806
20;7.580251581;56.51615268;11.68166072;209.926316;10.38738586;146.8985552
30;8.074858775;68.43686411;15.90432848;538.2322759;11.4586089;197.9671298
40;7.770116878;60.91119425;16.32139375;582.6242485;13.39491563;318.514387
50;8.173461073;70.9995991;16.95800086;655.0944864;14.14959023;376.5028096
60;7.780647324;61.16146796;17.2333853;688.261771;15.6876587;516.1062351
70;8.034971131;67.4181079;18.53499971;860.6349157;16.01569485;549.8521092
80;9.090238953;97.99160815;17.92392074;776.4336132;15.97261606;545.3372758
90;3.137084964;3.94440659;20.14837597;1112.565823;17.78925986;758.6674406
100;3.929732672;7.774499304;19.20543152;959.9683886;17.39580793;708.3512065
110;3.771458454;6.868707818;20.50672659;1174.6662;18.8311257;903.5958664
120;3.770182099;6.861706463;22.25763552;1512.595351;14.07364426;370.3671241
130;4.183737391;9.389805519;21.98927129;1456.953557;12.11053304;234.2765612
140;3.863997807;7.38917279;20.85518519;1237.292682;12.6619401;268.3030531
150;4.314249596;10.30088833;22.08181065;1475.978476;14.49932544;405.6502543
160;5.087432116;16.9362577;23.14569438;1707.139085;14.62217926;416.2420364
170;5.995275513;27.80505556;23.18590137;1716.333762;14.06630496;369.7778032
180;6.028462034;28.2726406;23.84739818;1872.551702;14.89245828;440.2023819
190;5.599908795;22.62763698;24.77821674;2108.610151;14.89405373;440.3465332
200;6.105365263;29.37640884;24.55037833;2049.034018;15.87082287;534.7693347
210;6.955451271;43.56499742;23.92717347;1892.02977;13.65945079;338.0945338
220;10.76232987;163.610197;25.9180467;2424.746869;15.05041341;454.6301642
230;12.16446111;237.4674698;26.13950307;2489.758831;15.33249897;481.1900097
240;10.01786663;131.5958522;26.6034762;2629.86519;17.34475167;701.9937297
250;7.09936598;46.34908004;27.26242055;2838.11638;13.77017898;346.527099
260;7.350498641;51.48948403;24.70961008;2090.546347;14.39051179;396.4231429
270;7.912117055;64.3445567;27.26816441;2839.980333;16.79781211;636.311872
280;8.479798153;79.37237632;27.65108589;2966.171865;17.85690926;767.5575078
290;8.607119731;83.03938715;31.65931749;4531.038316;18.66806489;879.7625956
300;9.534747146;113.2623473;33.25769581;5290.653156;20.70999413;1210.926968
310;9.436463936;109.7569335;33.07197892;5198.111995;22.12967603;1485.885708
320;9.632073089;116.8072665;33.48521513;5405.597129;22.46313668;1556.178976
330;9.928837249;128.0771437;34.93967899;6182.38528;24.56282331;2052.257769
340;10.69499956;160.5192783;38.34959542;8308.356296;26.40946275;2570.631474
350;12.38783202;250.9977899;39.62791532;9224.635234;27.80776466;3018.910135
360;12.61822313;265.4905533;42.11945843;11215.23701;29.10905973;3482.430377
370;13.19005264;303.8903528;43.87738758;12794.08638;29.93680849;3801.791178
380;14.24851161;384.5976808;44.11894732;13022.94498;31.79302084;4591.440369
390;14.57239961;411.9279521;45.47799977;14366.38967;34.34040655;5853.406115
400;15.35738867;483.5829347;46.53645874;15480.53596;35.7205199;6630.37471
410;16.42127266;593.613337;47.88178986;16986.34919;37.41303327;7679.640749
420;21.11812465;1286.038911;49.9766899;19542.12642;39.4961265;9126.985652
430;21.06738773;1276.531992;52.48801728;22969.56112;41.67973683;10843.43362
440;22.01033192;1461.268444;53.65720444;24710.12995;41.69313907;10854.6327
450;23.98748382;1906.847726;53.46861576;24422.88923;18.70444256;885.0419056
460;25.20868451;2224.420528;58.41564314;32845.45574;32.0077761;4689.637325
470;29.30785977;3557.352693;59.60461483;35165.54583;35.02806993;6231.989308
480;31.15418011;4307.85911;62.67915582;41760.17469;37.70118177;7869.331971
